region,mean_p,cmro2,cmrglu,mean_i
SomMot_10 L,7.83363252599025e-13,5011.507,5935.511,2.84714217508429e-10
SomMot_10 R,7.7616069713064e-13,4895.228,5843.266,2.4077228438017e-10
SomMot_11 L,4.78346937934147e-12,5423.559,6318.8105,9.105939202073051e-10
SomMot_11 R,5.45572146383189e-12,5205.224,6292.934,9.92496723922119e-10
SomMot_12 L,1.04610306501189e-12,5290.3374,6351.502,3.72133498636625e-10
SomMot_12 R,1.23848669504003e-12,5037.1123,5967.959,3.9131295546375803e-10
SomMot_13 L,5.98877342756612e-13,5094.667,6180.232,2.25621758795647e-10
SomMot_13 R,1.52910170495244e-12,5149.33,6360.098,5.55552544285283e-10
SomMot_14 L,2.19823860623731e-12,5258.935,6104.267,6.1326420487276e-10
SomMot_14 R,1.5685062120889399e-12,5328.313,6217.09,4.29138138743341e-10
SomMot_15 L,3.91689687656689e-12,5072.734,6330.864,6.25692648816156e-10
SomMot_15 R,8.232585468745449e-12,5281.668,6347.2017,1.3179924448363e-09
SomMot_16 L,6.0298792312810495e-12,5096.4844,6079.283,7.825724367904451e-10
SomMot_16 R,1.0597085760694998e-12,5407.245,6316.681,3.23350870819261e-10
SomMot_17 L,2.0046300721321997e-12,5459.172,6373.9854,5.910603205942201e-10
SomMot_17 R,5.8655246652280894e-12,5242.469,6015.1875,1.04646172443288e-09
SomMot_18 L,6.58245763426487e-12,5203.127,6062.2583,1.0933745365416202e-09
SomMot_18 R,2.0649919236732897e-11,5265.7524,6440.2925,2.7347724549552404e-09
SomMot_19 L,6.27503456145628e-12,5144.79,6412.41,8.57737408953307e-10
SomMot_19 R,7.85995804893502e-12,4867.3657,5810.4707,1.0687917696993902e-09
SomMot_2 L,4.8681418211249296e-12,5535.911,6331.347,9.93328762244401e-10
SomMot_2 R,4.809499385178899e-12,5177.787,6070.894,9.187929265911171e-10
SomMot_20 L,9.99581852400792e-12,4763.3374,5626.829,1.07636549366818e-09
SomMot_20 R,3.6963921989216495e-12,4942.0254,6207.1934,5.59349491695263e-10
SomMot_21 L,1.07273044209239e-11,5503.551,6646.881,1.2844156594386501e-09
SomMot_21 R,8.313081644308799e-12,5247.8877,6261.7114,9.98765301374063e-10
SomMot_22 L,5.81512554583866e-12,5370.0957,6598.0547,1.04362725685374e-09
SomMot_22 R,6.3894844754807395e-12,5479.7026,6813.4604,1.18724719632061e-09
SomMot_23 L,1.0549909205547499e-11,5030.643,5929.4414,1.02895396471633e-09
SomMot_23 R,3.26253047597063e-12,5904.911,7095.1597,5.44711131848183e-10
SomMot_24 L,6.97232829504992e-12,5668.2515,6785.7983,7.68560854497717e-10
SomMot_24 R,1.29142091178241e-12,4898.3354,6004.2505,4.78879401393561e-10
SomMot_25 L,8.21657167058132e-12,5069.0176,6191.8633,8.29333857626046e-10
SomMot_25 R,9.151632404846999e-13,4867.993,5926.531,3.26914356449527e-10
SomMot_26 L,8.17922201513221e-13,4966.262,5786.5376,3.02261089473745e-10
SomMot_26 R,5.658722295471499e-12,5204.879,6331.706,7.62580274560735e-10
SomMot_27 L,9.642343052804799e-12,5217.81,6718.02,1.23433663627684e-09
SomMot_27 R,8.056781863936639e-12,5697.745,6983.4404,9.63928273004038e-10
SomMot_28 L,1.46147387405385e-12,5544.1973,6815.7964,2.96831710461676e-10
SomMot_28 R,1.0060459830488699e-12,5435.698,6942.338,2.05503950418674e-10
SomMot_29 L,1.54542417583352e-11,5591.348,6732.6963,1.41927677057458e-09
SomMot_29 R,5.59419737473975e-12,5437.194,6968.505,9.20793186797518e-10
SomMot_3 L,6.80303939997784e-13,5421.838,6452.4775,2.67574464366002e-10
SomMot_3 R,5.78615998184873e-12,5596.5815,6686.574,1.27170220918449e-09
SomMot_30 L,1.0354895953302e-11,4976.6997,6226.136,1.1429310263598e-09
SomMot_30 R,1.45864772624317e-11,5116.3496,6360.0845,1.54162231469951e-09
SomMot_31 L,5.94020108321394e-12,5472.96,6797.71,8.202723765486591e-10
SomMot_31 R,1.5214813439448399e-12,5154.8706,6292.005,5.23846833626298e-10
SomMot_32 L,1.65996274647207e-12,5150.007,6184.136,5.95698257592699e-10
SomMot_32 R,1.28895967115914e-12,5343.737,6627.481,4.0153040836635006e-10
SomMot_33 L,1.0474740689747599e-11,5163.633,6361.359,7.66113165455038e-10
SomMot_33 R,8.63292285620235e-12,5613.5303,6937.352,1.07335581190969e-09
SomMot_34 L,3.3350194489534398e-12,5734.0317,7050.6733,4.69242976179636e-10
