region,cmro2,cmrglu
Cont_PFCl_8 L,5217.188,6967.9536
Cont_PFCl_9 L,5444.2856,7377.4
Cont_PFCl_10 L,5365.331,7277.145
Cont_PFCl_11 L,5225.103,6899.889
Cont_PFCl_12 L,5344.1533,7435.467
Cont_PFCl_13 L,5407.394,7529.118
Cont_PFCv_1 L,4792.7534,5536.901
Cont_PFCv_2 L,5099.8794,6590.053
Cont_pCun_1 L,5847.3647,7708.6504
Cont_pCun_2 L,5654.117,6984.7363
Cont_Cing_1 L,2281.0266,3158.1892
Cont_Cing_2 L,2444.647,2814.6045
Cont_Cing_3 L,2673.2168,3644.7383
Cont_Cing_4 L,2561.3267,3094.062
Cont_PFCmp_1 L,5324.1255,7136.6343
Cont_PFCmp_2 L,5449.678,7160.488
Default_Temp_1 L,4414.1895,5304.151
Default_Temp_2 L,4579.362,5808.6016
Default_Temp_3 L,4337.229,5006.9937
Default_Temp_4 L,4792.868,6134.685
Default_Temp_5 L,4632.7046,5719.6206
Default_Temp_6 L,4665.6646,5512.006
Default_Temp_7 L,4928.2646,6195.024
Default_Temp_8 L,4880.213,5905.8784
Default_Temp_9 L,5102.004,5966.098
Default_Temp_10 L,5063.7793,6017.5625
Default_Temp_11 L,5047.2466,6044.831
Default_Temp_12 L,5195.226,6160.4424
Default_Par_1 L,5076.281,6131.7007
Default_Par_2 L,5113.084,6223.977
Default_Par_3 L,5191.2144,6186.549
Default_Par_4 L,5320.9277,6486.9385
Default_Par_5 L,5240.479,6473.0317
Default_Par_6 L,5283.3228,6577.1123
Default_Par_7 L,4916.307,6251.131
Default_Par_8 L,5049.6504,6297.531
Default_Par_9 L,5271.0854,6781.455
Default_Par_10 L,5292.6724,6790.0913
Default_Par_11 L,5041.508,6673.3657
Default_Par_12 L,5299.366,6813.553
Default_Par_13 L,5057.4507,6752.671
Default_PFC_1 L,4822.8315,5711.606
Default_PFC_2 L,5145.063,6892.0713
Default_PFC_3 L,5079.3975,6548.6895
Default_PFC_4 L,5329.9463,6716.169
Default_PFC_5 L,5130.6724,6677.9033
Default_PFC_6 L,4890.8525,6143.334
Default_PFC_7 L,5074.08,6656.7026
Default_PFC_8 L,5449.1763,7233.823
Default_PFC_9 L,5206.203,6956.1035
Default_PFC_10 L,4872.358,6513.491
Default_PFC_11 L,4569.539,5705.121
Default_PFC_12 L,5267.761,6930.754
Default_PFC_13 L,5272.642,7063.777
Default_PFC_14 L,5137.406,6579.2695
Default_PFC_15 L,2880.9978,3430.947
Default_PFC_16 L,4765.1523,6311.555
Default_PFC_17 L,4870.3774,6338.159
Default_PFC_18 L,5259.9697,6888.4985
Default_PFC_19 L,4950.2603,6608.181
Default_PFC_20 L,5108.595,6778.317
Default_PFC_21 L,4667.21,6220.6113
Default_PFC_22 L,5257.8555,7038.376
Default_PFC_23 L,5082.609,6987.8247
Default_PFC_24 L,5399.1924,7171.5225
Default_PFC_25 L,4664.6567,6381.9463
Default_PFC_26 L,5138.303,7108.56
Default_PFC_27 L,5111.04,7071.719
Default_PFC_28 L,4825.2163,6599.292
Default_PFC_29 L,5093.292,6908.189
Default_pCunPCC_1 L,4758.059,5825.203
Default_pCunPCC_2 L,2155.75,2796.7373
Default_pCunPCC_3 L,5619.8833,6925.0186
Default_pCunPCC_4 L,5746.87,7351.563
Default_pCunPCC_5 L,5246.1323,6656.027
Default_pCunPCC_6 L,6031.6235,7837.273
Default_pCunPCC_7 L,5627.4507,7341.644
Default_pCunPCC_8 L,5504.1855,7480.38
Default_pCunPCC_9 L,5738.4185,7790.082
Default_pCunPCC_10 L,5997.111,7711.2905
Default_pCunPCC_11 L,5614.3965,7418.6396
Default_pCunPCC_12 L,5344.907,6664.7153
Default_pCunPCC_13 L,5271.908,6693.106
Default_pCunPCC_14 L,5561.5273,7194.579
Default_pCunPCC_15 L,6094.0054,7790.9453
Default_pCunPCC_16 L,5723.9644,7070.204
Default_pCunPCC_17 L,5669.8896,7006.1416
Default_PHC_1 L,4866.037,5325.8647
Vis_1 R,4480.9023,5197.97
Vis_2 R,5568.3604,6364.262
Vis_3 R,5109.1304,5819.486
Vis_4 R,5560.6636,6728.9106
Vis_5 R,5565.3525,6711.693
Vis_6 R,5066.7,5789.188
Vis_7 R,5623.267,6543.836
